,banco,fecha,texto,src,rt,fav,palabras,country,type,place,desde,sigue_a,lo_siguen
151,BancoAzteca,2020-10-17 03:11:32,"Buenas noches, hoy asustadisima, que alguien me dé una cachetada, o un pellizco jejejeje jejejeje fui va Banco Azteca BancoAzteca a ser un depósito 💸 para un banco mismamente institución pero en Zacatecas y hoooooooooo sorpresa de $25,000 tenia que pagar $2,500 por el servicio https://t.co/1h3Za9b953",Twitter for iPhone,0,1,"servicio,banco,servicio",MX,city,"Corregidora, Querétaro Arteaga",2011-09-26 16:46:50,995,213
152,BancoAzteca,2020-10-17 03:09:53,QuirinoOC MazatlanFC BancoAzteca RicardoBSalinas Esooo soy su fan,Twitter for Android,0,0,,,,,2020-09-24 15:54:22,6,1
153,BancoAzteca,2020-10-17 03:08:42,"RicardoBSalinas 1_revista Yo tengo cuenta en BancoAzteca y no solo no tengo queja, sino que hasta en una ocasión me gané una compra gratis en el Buen Fin.",Twitter for Android,0,0,"cuenta,queja",,,,2010-09-12 14:45:40,356,195
156,BancoAzteca,2020-10-17 01:54:46,ClubPueblaMX BancoAzteca Fuera reynoso,Twitter Web App,0,0,,,,,2019-04-03 18:22:45,13,0
158,BancoAzteca,2020-10-17 01:36:49,QuirinoOC EdgarBejarano12 MazatlanFC BancoAzteca RicardoBSalinas Gobernador Quirino esperando solución ala carta,Twitter for Android,0,0,,,,,2020-01-08 00:39:10,42,16
159,BancoAzteca,2020-10-17 01:26:03,"La STPS_mx se atreverá a investigar los miles de dobles contratos existentes para los empleados de Azteca BancoAzteca RicardoBSalinas, o la 4T seguirá haciéndose de la vista gorda? Sabemos la respuesta.",Twitter for Android,7,0,respuesta,,,,2010-10-14 22:28:21,746,3708
160,BancoAzteca,2020-10-17 01:20:30,QuirinoOC MazatlanFC BancoAzteca RicardoBSalinas Hasta eso que es agradecido RicardoBSalinas  y su BancoAzteca  por traer a nuestro estado con cargo al gasto público al MazatlanFC,Twitter for Android,0,0,cargo,,,,2009-05-01 19:01:14,990,184
161,BancoAzteca,2020-10-17 01:19:49,RicardoBSalinas callodehacha QuirinoOC MazatlanFC BancoAzteca Forbes_Mexico Apellido “PUTO”!! y el otro perro “NARCO”,Twitter for iPhone,0,0,,,,,2010-03-25 20:03:57,312,18
162,BancoAzteca,2020-10-17 01:14:36,"EdgarBejarano12 QuirinoOC MazatlanFC BancoAzteca RicardoBSalinas Creo que la culpa no es del gobernador, creo que nosotros como público no damos el ancho, exigimos y no damos....",Twitter for iPhone,1,1,,,,,2012-03-19 21:17:56,356,165
164,BancoAzteca,2020-10-17 00:49:49,QuirinoOC MazatlanFC BancoAzteca RicardoBSalinas Yo no alcance boleto! Pero desde casa apoyaré con mi Jersey al Mazatlan FC,Twitter for Android,0,0,casa,,,,2010-07-14 19:05:33,91,35
