,fecha,texto,src,rt,fav
98,2020-10-17 03:08:19,"@LuiFe73 Hola, el mensaje que nos compartes es fraudulento el BBVA no solicita el ingreso de tus datos y claves personales a través de enlaces. Asimismo, nuestra área encargada ya tiene conocimiento para la seguridad de nuestros clientes. ¡Gracias por alertarnos!",S1Gateway,0,0
99,2020-10-17 03:08:08,Seguimos en el #HackathonBBVA @BBVAInnovation @BBVA_Mex @RevistaSG   Ya estamos con @ntexa  https://t.co/PYS0sUjgOC https://t.co/lws3ore6Qc,Twitter for iPhone,2,0
100,2020-10-17 03:04:54,@bbva_peru esto me llegó. https://t.co/aPrxfwNSiA,Twitter for Android,0,0
101,2020-10-17 03:03:11,Gol de A. Rocha | Mazatlán 2 - 0 Juárez | Liga MX - Guardianes 2020 - Jornada 14 | LIGA BBVA MX https://t.co/ki04d8vwkB #LigaMX #SienteTuLiga,Microsoft Power Platform,0,0
102,2020-10-17 03:03:11,Gol de Sanvezzo | Mazatlán 1 - 0 Juárez | Liga MX - Guardianes 2020 - Jornada 14 | LIGA BBVA MX https://t.co/taABpynSQt #LigaMX #SienteTuLiga,Microsoft Power Platform,0,0
103,2020-10-17 03:01:54,"A todos los globalizadores trasnochados, defensores del neoliberalismo.
Porqué no globalizan las tasas de interés, comisiones, salarios mínimos, calidad prods, reglas ambientales, impuestos, educación, jubilaciones, etc. Etc.?

BBVA, banamex tienen el descaro de pedir donaciones https://t.co/If12E03O0m",Twitter for Android,2,3
104,2020-10-17 03:01:35,"@paolobenza Bbva, Scotiabank, interbank, ninguno nos dio Reactiva. 0 deudas, historial limpio. Q ellos tienen su lista de beneficiarios y solo a ellos llaman.",Twitter for Android,1,0
105,2020-10-17 03:00:45,"@paolobenza Soy microempresario, tenemos una cuenta @bbva_peru + de 12 años, solicité el crédito Reactiva con mi sectorista en 2 oportunidades y fueron denegadas a pesar de cumplir con los requisitos, pedí las razones y en vez de respuestas me ofrecieron otro productos de capital de trabajo. https://t.co/gkPS6WS1Po",Twitter for Android,9,0
106,2020-10-17 03:00:29,"@paolobenza @nando360 Me pasó en BBVA: Finanzas de la empresa limpias, sin deuda, apto según Sunat e hice 4 solicitudes sin respuesta.

Cuando fui a plataforma me dijeron que “solo otorgaban Crédito Reactiva si tenía deuda previa para así refinanciarla, que si quería, podía acceder a crédito regular”.",Twitter for Android,2,0
107,2020-10-17 03:00:15,"Iniciativas que hacen madurar el mercado. Ojalá todas las marcas tuvieran esta visión. 
 https://t.co/SPPEZzDeDT",Twitter for Android,0,0
108,2020-10-17 02:59:27,"¿Nos echan una garrita para el tratamiento de #Pawa?

Los donativos se reciben en la💳 número 4152 3134 4097 6046, a nombre de Israel Alonso Najera (es de @BBVA_Mex). 

Aquí la publicación original: https://t.co/k4VWGe7FuZ https://t.co/hPqNGhkh4O",Twitter for iPhone,20,0
109,2020-10-17 02:59:00,@dieguck @BBVA_Mex Ya caigo?,Twitter for Android,0,0
110,2020-10-17 02:58:50,Cabe mencionar que hice el pago através de la app de BBVA. Y ya antes había realizado otros pagos sin problemas. Entonces. Quiero respuesta y solución a ese detalle.,Twitter for Android,0,0
111,2020-10-17 02:58:34,Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/qBqopW78MA vía @julioastillero,Twitter for Android,16,0
112,2020-10-17 02:58:09,"Acabo de pagar un 12 con puntos bbva
Tqm @BBVA_Mex",Twitter for Android,0,0
113,2020-10-17 02:57:37,"Pago una docena de chorizos a quien me de un teléfono y me atienda de una el reputo BBVA con todos sus toquen, numerales y 0800 diseñados por un sovietico hdp",Twitter for iPhone,260,0
